Excel File,Formulas Used
Q45\R_2WI1Apx9CNDquXh_TasksGetCalories.xlsm,
Q45\TasksGetCalories_WorkerID_A3V6LYW2T3O8UM.xlsm,"MID, SEARCH"
Q45\R_TdTgDXaGEwtgETf_TasksGetCalories.xlsm,
Q45\R_3gNJ3Oda4aDS3nc_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_eyBuKvdKY3kfbbj_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3NLeHvkNcrsoIhb_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3GwWd2QMFBQ24R9_TasksGetCalories.xlsm,
Q45\R_1PdzXD7gQZLxVrp_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1nPnMa3bAxENGYm_TasksGetCalories.xlsm,"MID, SEARCH, FIND"
Q45\R_2VpFE23ecNj770d_TasksGetCalories.xlsm,
Q45\R_8HMNwiGwYyvSSHf_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3CHsFpVCd5YkgB3_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_2YzvdsKiEuqLVs6_TasksGetCalories.xlsm,
Q45\R_31ynADcO8ASrHhL_Copy_of_TasksGetCalories.xlsm,
Q45\R_3FXWhMshOjiobYr_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_79TM6HBPHElEJCp_TasksGetCalories.xlsm,
Q45\R_2YujoL3fpWN1MVR_TasksGetCalories_1.xlsm,
Q45\R_1QawGAI2jP71rnq_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_11bg0GblFTI0c2g_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3peWW5COwgpcrHI_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2aCXB4UeUoYVwOX_TasksGetCalories.xlsm,
Q45\R_1H5W4DJMrMzwbkC_TasksGetCalories.xlsm,"MID, SEARCH, RIGHT, LEN, MIN, FIND"
Q45\R_OuJmS6VIA5WAlJT_calories_task_finished.xlsm,"MID, SEARCH, VALUE"
Q45\R_AFIevdlOQXO8nPr_Book1.xlsm,
Q45\R_2ByMXRBMoX1ycnz_Copy_of_TasksGetCalories.xlsm,
Q45\R_3frC9jkmLZQS7GW_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1oC2k3Tv5aP7xCz_TasksGetCalories.xlsm,
Q45\R_3325KP5Rf3tQHHt_TasksGetCalories.xlsm,"TRIM, MID, SEARCH"
Q45\R_eFhs3oq4QJwRsSl_Copy_of_TasksGetCalories.xlsm,
Q45\R_264iq94dmLrjpFb_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_12SBYBxOs56dx5N_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3qxO4xx6mRfE7Qw_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_QfFW9RGEKQsr71f_TasksGetCalories.xlsm,
Q45\R_yxolEkCQZ3ijbIl_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2rYGrFIgk8mmnn0_TasksGetCalories.xlsm,MID
Q45\R_3Kpzw3zdQOui66R_Copy_of_TasksGetCalories.xlsm,
Q45\R_2ztHKjVqK4YCqcp_TasksGetCalories.xlsm,"MID, SEARCH, LEFT, TRIM"
Q45\R_3I4eZwPQeqpOkC3_TasksGetCalories.xlsm,
Q45\R_2VPya0M4GmQMkt2_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1KqW9m2T4Tqb5b0_TasksGetCalories.xlsm,"SEARCH, MID"
Q45\R_1DXVK1BODD2ghkq_TasksGetCalories.xlsm,
Q45\R_1XfUhi8oVQhkDXX_TasksGetCalories.xlsm,
Q45\R_2znFawfxa8IrAEz_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1F2LeIkY68xSV8A_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_Rn9E1oODMgqRs1H_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2Ucm3hA9iuk65wv_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_UfJbNjFKQ2GSdTr_TasksGetCalories.xlsm,MID
Q45\R_aavHGFQuo1QwXKx_TasksGetCalories.xlsm,
Q45\R_1f2EvHvSRKgEFhE_TasksGetCalories.xlsm,
Q45\R_2rvsF7SwGxIliHD_TasksPhoneNumbers.xlsm_Get_Calories.xlsm,
Q45\R_2V8ZXDLOVzXVmXj_TaskCalories.xlsm,
Q45\R_3iLnSYQU5zbMeyh_Copy_of_TasksGetCalories.xlsm,
Q45\R_1E0C0d9xmKXZZiB_TasksGetCalories.xlsm,
Q45\R_3I9VnAJ3T7et8XK_TasksGetCalories.xlsm,
Q45\R_QoYxGdmcam5WICJ_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_u20b2OeA8Z4XhKx_TasksGetCalories.xlsm,"VALUE, IF, LEFT, MID, SEARCH"
Q45\R_2bGYWAAC1wi9UNq_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\TasksGetCalories_WorkerID_A3DXUDP72R7GE1.xlsm,"MID, SEARCH"
Q45\R_10GaUghkZtYX2m4_TasksGetCalories.xlsm,
Q45\R_2wEop9QkrZW6CAx_TasksGetCalories.xlsm,
Q45\R_3CVMjuXdZtXHPyK_testmkw.xlsx,"SUM, STDEV, COUNT, COUNTA, AVERAGE, MAX, NETWORKDAYS, TRIM, CONCATENATE, DATEVALUE, COUNTIF"
Q45\R_4Tq1mOOVAmIsONb_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_eqFANimg30kH9Dj_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_XYsigvEcLvAMwtH_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3PBjzXobZIry3M1_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_1rP2jGw4MDpdyVg_TasksGetCalories.xlsm,
Q45\R_2fkvAmhlktmPgeo_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3k1fypmO1deGhdk_TasksGetCalories.xlsm,LEFT
Q45\R_2t9DBTM8rSQjLQC_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1geGXzLhUthPf4y_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_8jBSnOwkaUzfHH3_TasksGetCalories1.xlsm,"MID, SEARCH"
Q45\R_31SjjVW0Kwwet7K_TasksGetCalories.xlsm,MID
Q45\R_8CkCbpfW0vdD6mJ_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2zhDHyoXSfRJspE_TasksGetCalories.xlsm,"MID, SEARCH"
