C:\Data\LAS RQ34 zip code submissions\R_0JskSAGaAoNDDMJ_Zipcode_task.xls: 2 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_0TXLCwRo31Dbc9H_Zipcode_task.xls: 2 incorrect
Cell C34, Input: 90503-1640, Correct:90503--1640
Cell C36, Input: 06810, Correct:6810

C:\Data\LAS RQ34 zip code submissions\R_10pK0JC34jiO5Gc_Zipcode_task.xlsx: 1 incorrect
Cell C36, Input: 06810, Correct:6810

C:\Data\LAS RQ34 zip code submissions\R_11jfkHe2bRF2aKp_Zipcode_task.xls: 3 incorrect
Cell C34, Input: -1640, Correct:90503--1640
Cell C36, Input: 06810, Correct:6810
Cell C41, Input: -6375, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_122MV3M3E10asG6_Zipcode_task.xls: 4 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C36, Input: 06810 , Correct:6810
Cell C37, Input: M1S4X4, Correct:M1S 4X4
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_1C7mkPF5hD2Uci7_Copy_of_File.xls: 4 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C36, Input: 06810 , Correct:6810
Cell C37, Input: M1S4X4, Correct:M1S 4X4
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_1CHKYi9tnc9VpHq_Zipcode_task....xls: 2 incorrect
Cell C34, Input: 90503-1640, Correct:90503--1640
Cell C37, Input: M1S4X4, Correct:M1S 4X4

C:\Data\LAS RQ34 zip code submissions\R_1Csi0qtzWQMSddt_Zipcode_task.xls: 61 incorrect
Cell C2, Input: , Correct:43403
Cell C3, Input: , Correct:43403
Cell C4, Input: , Correct:10020
Cell C5, Input: , Correct:90066
Cell C6, Input: , Correct:60654
Cell C7, Input: , Correct:08543
